Nit sqrt fn sigma_half Rn exp sigma sqrt_restart
105 0.00309456231256888 47.716710728891 3.01974711902631e-09 1.2205250143893e-09 0.1807635718972 1.04543778078892e-08 0.0142297306545762
106 0.00307992967981452 47.4815836738688 2.44816522609881e-09 9.86471793140709e-10 0.1807635718972 8.51734505147306e-09 0.0129807185549029
107 0.00306550272221306 47.2497792506258 1.98484784164066e-09 7.97386157103119e-10 0.1807635718972 6.93940860330144e-09 0.0120121446076222
108 0.00305127666232119 47.0212202801412 1.6092651655697e-09 6.44632347501783e-10 0.1807635718972 5.65382185513386e-09 0.0112325549864294
109 0.00303724687703477 46.7958320685542 1.30480648508069e-09 5.21125809171963e-10 0.1807635718972 4.6064383418809e-09 0.0105873297881325
110 0.00302340889116959 46.5735423052374 1.0579896958518e-09 4.21342960521542e-10 0.1807635718972 3.75310937883455e-09 0.010041803486835
111 0.00300975837139061 46.3542809659335 8.57876880644426e-10 3.4069991272645e-10 0.1807635718972 3.05797787092388e-09 0.00957270522275788
112 0.00299629112046684 46.1379802206597 6.95664859051703e-10 2.75498290847054e-10 0.1807635718972 2.49160070353582e-09 0.0091637309584458
113 0.00298300307177257 45.9245743461054 5.64117641488338e-10 2.22831531004886e-10 0.1807635718972 2.03022088030025e-09 0.00880303702260044
114 0.00296989028413819 45.713999642267 4.57457183244969e-10 1.80190085075083e-10 0.1807635718972 1.654201664536e-09 0.00848182982373658
115 0.00295694893709308 45.5061943530785 3.709992313361e-10 1.45734979639656e-10 0.1807635718972 1.34781652505467e-09 0.00819343449467702
116 0.00294417532500013 45.301098590815 3.0086244606764e-10 1.17888365736007e-10 0.1807635718972 1.09820508242819e-09 0.007932613640663
117 0.00293156585423704 45.0986542640571 2.44009257244215e-10 9.53446210871789e-11 0.1807635718972 8.94889939928589e-10 0.00769522409441503
118 0.00291911703820702 44.8988050090221 1.97901250942323e-10 7.7194250991397e-11 0.1807635718972 7.29165172685953e-10 0.00747795293986453
119 0.00290682549314702 44.7014961240751 1.60503166313219e-10 6.25113294461244e-11 0.1807635718972 5.9414384523393e-10 0.00727811398202016
120 0.00289468793433079 44.506674507249 1.30178090529398e-10 5.05759878421941e-11 0.1807635718972 4.84192241856363e-10 0.00709349607967713
121 0.00288270117229894 44.314288596611 1.05593755961308e-10 4.08588718414649e-11 0.1807635718972 3.94551946669708e-10 0.00692225940605073
122 0.00287086210987786 44.1242883133239 8.56559267958801e-11 3.30144800386734e-11 0.1807635718972 3.21524140645124e-10 0.0067628614438755
123 0.00285916773733286 43.9366250072581 6.94866386652393e-11 2.67710298373913e-11 0.1807635718972 2.62007748830229e-10 0.00661399427575082
124 0.00284761513016329 43.7512514050228 5.63700197631078e-11 2.17097451127302e-11 0.1807635718972 2.13553175143488e-10 0.0064745534712003
125 0.00283620144695451 43.5681215602875 4.57598403613702e-11 1.74398273600218e-11 0.1807635718972 1.74081193904385e-10 0.00634358156779768
126 0.00282492392495826 43.3871908062777 3.70978803232447e-11 1.41606726344889e-11 0.1807635718972 1.4187095942475e-10 0.00622025128266168
127 0.0028137798777581 43.2084157103322 3.00994784652175e-11 1.15556453295085e-11 0.1807635718972 1.15655929278091e-10 0.00610384730144276
128 0.0028027666926187 43.0317540304172 2.44422260209376e-11 9.47286693531169e-12 0.1807635718972 9.4298790997982e-11 0.00599374466842217
129 0.00279188182786827 42.8571646734977 1.98232541492871e-11 7.59836638053457e-12 0.1807635718972 7.69091457186732e-11 0.0058893958776185
130 0.00278112281044907 42.6846076556757 1.60786939318314e-11 5.95834492855829e-12 0.1807635718972 6.26942942005826e-11 0.00579032071131369
131 0.00277048723353257 42.5140440640033 1.30664368214184e-11 4.75308681302522e-12 0.1807635718972 5.11133357861127e-11 0.00569608840316072
132 0.00275997275429196 42.3454360198925 1.05830899599368e-11 3.82449627522874e-12 0.1807635718972 4.16719991847003e-11 0.00560631530615829
133 0.00274957709169499 42.1787466440392 8.58157989114261e-12 3.09974268475344e-12 0.1807635718972 3.39879235866647e-11 0.00552065875977492
134 0.00273929802442652 42.0139400227918 6.98152646805283e-12 2.5113244817021e-12 0.1807635718972 2.77480260990615e-11 0.00543881341789154
135 0.00272913338889813 41.8509811758916 5.65281155218145e-12 2.03348449190344e-12 0.1807635718972 2.26187957252932e-11 0.00536050520848086
136 0.00271908107734076 41.6898360255206 4.6065373737747e-12 1.64668279012403e-12 0.1807635718972 1.84425807958633e-11 0.00528548771970261
137 0.00270913903594305 41.5304713665956 3.72457620301248e-12 1.33493216480929e-12 0.1807635718972 1.50541801247073e-11 0.00521353534614954
138 0.00269930526310569 41.3728548382465 2.98872038229092e-12 1.0813572259849e-12 0.1807635718972 1.22870602581315e-11 0.0051444446145088
139 0.00268957780774493 41.216954896428 2.55973020557576e-12 8.76188011034174e-13 0.1807635718972 1.00075503439712e-11 0.00507803068802826
140 0.00267995476765437 41.0627407876075 1.94244620388417e-12 7.096545573404e-13 0.1807635718972 8.25028934059446e-12 0.0050141250264808
141 0.00267043428794311 40.910182523482 1.68931535426964e-12 5.75095526755831e-13 0.1807635718972 6.70929978241475e-12 0.00495257358384427
142 0.00266101455955337 40.7592508566769 1.29096733303413e-12 4.67625937972116e-13 0.1807635718972 5.48849854453692e-12 0.00489323524402385
143 0.00265169381776564 40.6099172573803 9.9431574085429e-13 3.78808096002103e-13 0.1807635718972 4.42312853010662e-12 0.00483598045694844
144 0.00264247034088072 40.462153890872 8.58868531850021e-13 3.78808096002103e-13 0.1807635718972 3.59623442136581e-12 0.00478069005026827
145 0.00263334244880609 40.3159335959066 7.88702436693711e-13 3.77919917582403e-13 0.1807635718972 2.92521562528236e-12 0.00472725418179554
146 0.0026243085018236 40.1712298639124 7.56728013584507e-13 3.78364006792253e-13 0.1807635718972 2.42472708578134e-12 0.00467557142153785
147 0.00261536689932607 40.0280168189699 7.03881397612349e-13 3.77919917582403e-13 0.1807635718972 2.00062189037453e-12 0.00462554797045955
